store,～を保存する、蓄える
construction,建築、建造
obligation,義務
mechanic,整備工、修理工
neglect,～を怠る、無視する
complex,複雑な
boundary,限界、境界、境界線
applaud,～に拍手喝采する
plant,工場、植物
recession,景気後退
reckless,向こう見ずな
spare,～を割く、与える
successor,後任
rear,後部の、しんがりの
preserve,～を保存する、維持する
omit,～を省略する
luncheon,昼食会
humid,湿気のある
fuel,燃料
explore,～を調査する、探検する
couch,ソファ
decade,10年間
elevate,～を昇格させる
keen,鋭い、鋭敏な
minute,微小な、詳細な
attraction,魅力
instrument,器具、計器
commute,通勤する
confidential,機密の、内々の
represent,～を代表する、説明する
supportive,助けになる
unload,～の荷を降ろす
proper,相応しい、適切な
determine,～を決定する、決心する
beverage,飲み物
real estate,不動産
preceding,先行する、上記の
fatal,致命的な
evenly,均等に、平等に
symptom,徴候、症状
promote,～を昇格させる
governor,知事
council,協議会、諮問委員会
devise,～を草案する、発明する
surplus,黒字
generous,気前のよい、寛大な
fasten,～をしっかり固定する
qualified,適任の、資格のある
representative,販売員、代表者
display,～を展示する、示す
intellectual,知的な、知力の
respectively,それぞれ、別々に
respondent,回答者
seemingly,見たところ、表面上は
diverse,多様な、種々の
deserve,～に値する
halfway,途中で、中途半端に
layoff,一時解雇、レイオフ
misplace,～を置き忘れる
odd,奇数の、奇妙な
municipal,市の、地方自治体の
dispute,論争、葬儀
available,入手できる、求められる
beneficial,有益な
contest,～を争う
engaging,魅力のある、愛嬌のある
fine,罰金
former,<the～>前者
latter,<the～>後者
miniature,小型の、小規模の
sound,十分な、健全な、正しい
honorable,立派な、尊敬されるべき
progress,進行する、進歩する
farm,（土地）を耕す
eliminate,～を削除する
positive,肯定的な、積極的な
cash,～を換金する
architect,建築家
alternately,交互に
coworker,同僚
specific,具体的な、明確な
capacity,収容能力
emerge,現れる、持ち上がる
refill,詰め替え、お代わり
site,用地、現場
application,申し込み（書）、適応
equipment,設備、備品
institution,機関、協会、団体
rusty,錆びた
reward,報酬、報い
terms,条件、規定
treaty,条約、協定
up-to-date,最新の
observe,～を遵守する、観察する
jammed,詰まっている
review,～を再吟味する、精査する
issue,刊行物、発行
leak,漏れる
vast,莫大な、広大な
lawn,芝生
cargo,積み荷、船荷
moderate,適度の、穏やかな
partial,不公平な、部分的な
soil,土地、土壌
pavement,舗装道路、舗道
incidentally,ところで、ついでながら
despise,～を軽蔑する、卑しむ
heir,相続人
install,～を取り付ける
frequently,しばしば、頻繁に
conference,会議
enforce,～を施行する、実施する
noticeable,顕著な
scattered,散在している、ちりぢりの
precaution,予防策、警戒
foundation,土台、基金、財団
considering,～の割には、～を考慮すれば
lab,実験所、研究所
exhibit,～を展示する
astounding,度肝を抜くような
resume,履歴書
nevertheless,それにもかかわらず、それでもやはり
tendency,傾向
embarrass,～をまごつかせる
quote,～を見積もる、引用する
interrupt,～を邪魔する
expire,終了する、満期になる
clinic,診療所
bunk,二段ベッド
artificial,人工的な
domestic,国内の、家庭の
fixed,固定の、確立した
patent,特許権、特許
shutdown,閉鎖
reluctant,気が進まない、不承不承の
mutual,共同の、互いの
exhausted,疲労した
dicision-making,意思決定の
definitely,はっきりと、明確に
shift,移動する、転じる
ingredient,材料、成分
modest,慎み深い、謙虚な
isolated,孤立した、例外的な
decorative,装飾的な
bribe,賄賂
driveway,私有車道
grocery,食料品店
marvelous,素晴らしい
transfer,～を異動させる、転勤させる
rare,稀な、珍しい
circulation,発行部数、流通
assembly line,組み立てライン、流れ作業
desperately,必死になって
pointed,辛辣な、先のとがった
prestige,威信、名声
grateful,感謝する <to>
gradually,次第に、徐々に
durable,耐久性のある、丈夫な
vague,曖昧な、漠然とした
negative,負の、否定の
kichenware,台所用品
investment,投資
livelihood,生計、暮らし
skyscraper,超高層ビル
handout,資料、プリント
guarantee,～を保障する、約束する
obstacle,障害（物）
electrician,電気技術者
beneath,～の下に
entertain,～をもてなす、楽しませる
predecessor,先任者
excessive,過度の、法外な
insurance,保険契約、保険金
outstanding,抜群の、未払いの
premium,保険料、プレミアム
loyal,忠実な、誠実な
upcoming,来るべき
pastime,娯楽、気晴らし
favorable,好意的な、有利な
gathering,集会、会合
pickup,小型トラック
slippery,よく滑る
proportion,割合、比率
signature,署名
intern,インターン
enthusiasm,熱狂、熱中
commerce,商業、通商
belongings,所持品
accuntable,説明する義務があって
physician,医師、内科医
coverage,報道、補償範囲
expand,～を拡大する
intuition,直感、勘
polish,～を磨く
disclose,～を発表する、露わにする
blueprint,青写真、計画
concerning,～に関して
dominant,優勢な、支配的な
insight,洞察力
lot,一区画
poll,投票、世論調査
hospitality,手厚いもてなし、歓待
currency,通貨、貨幣
claim,～を主張する、請求する
accountant,会計士、会計係
astonish,～をびっくりさせる
proof,証拠、校正刷り
industrious,勤勉な
trainee,研修生
widespread,広範囲に亘る、普及した
procedure,手続き、手順
indicate,～のしるしである、～を指し示す
fascinating,魅惑的な、うっとりさせる
critical,決定的な、批評の、危篤の
intentionally,故意に
depression,不況
bulky,大きい、かさばった
adequate,適する、相当な
contemporary,現代の
identical,同一の
peninsula,半島
overcome,～を克服する、～に打ち勝つ
exotic,異国情緒のある、外来の
deny,～を否定する、拒む
machinery,機械類
pedestriam,歩行者
strengthen,～を強くする
identification,身分証明（書）
drastic,抜本的な、徹底的な
enormous,巨大な、非常に大きな
cultivate,～を耕作する、養成する
indifference,無関心、冷淡
predict,～を予言する、予報する
immigrant,（外国からの）移住民
resist,～に抵抗する、耐える
width,幅、広さ
voluntary,自発的な、任意の
outcome,結果
following,次の、以下の
discipline,規律、訓練
calculate,～を計算する、算出する
altogether,全部で、まったく
aspect,側面、局面
bandquet,宴会
auditorium,講堂、公会堂
checkup,健康診断、検査
depart,出発する
forecast,予想、予報
gratitude,感謝、謝意
furnished,家具つきの
note,～を書きとめる <down>
scarcely,ほとんど～ない
transimit,～を送る、運ぶ
utensil,台所用品、家庭用品
absolutely,まったく、完全に
attain,～を達成する、～に到達する
visible,目に見える、明白な
convince,～を納得させる、確信させる
method,方法
numerous,多数の
overwhelming,圧倒的な
reasonable,手ごろな、道理にかなった
capital,資本金、首都
budget,予算、経費
appoint,～を任命する
industrial,産業の
location,場所、位置
maximum,最高の、最大の
plumber,配管工
accomplish,～を成し遂げる、果たす
suspend,～を保留する、延期する
rebate,払い戻し
missing,欠けている
accumulate,～を蓄積する、積み上げる
hesitate,～をためらう
otherwise,もしそうでなければ
vertical,垂直の、縦の
upright,まっすぐな、垂直の
constraint,制約、抑圧
alternative,代わりの
fake,偽りの
appreciate,～を正しく認識する、鑑賞する、感謝する
board meeting,役員会
cancel,～を取り消す
concept,概念、考え
diminish,減少する
downward,下向きに、～以来
attach,～を添付する
assure,～を保障する、断言する
CEO,最高経営責任者
conventional,従来の、ありきたりの
despite,～にも関わらず
device,装置
facility,施設、設備
habitual,習慣的な、常習的な
beg,頼む、～を懇願する
carry-on,機内持込みのできる
analyze,～を分析する
colleague,同僚、仲間
composition,構成、組み立て
crude,天然のままの
demonstrate,～を実証する
workaholic,仕事中毒者
leftover,食べ物の残り物
range,限度、幅
thus,それゆえに、そういうわけで
draft,草稿、設計図
interval,間隔、距離
environmental,環境の、環境上の
customs,税関
decisive,決定的な
finance,財政、資金
chemical,化学の、化学的な
fundamental,基本的な、必須の
resolve,～を解決する
assume,～を引き受ける、推測する
admittedly,明白に
labor force,労働力
maintenance,整備、維持
struggle,もがく、戦う
reminder,催促状、注意書
demote,～を降格させる
emphasize,～を強調する
discrimination,差別
downsizing,人員削減、規模縮小
privilege,特権、特典
reduction,減少、縮小
customary,通例、いつもの
stubborn,頑固な、断固たる
policy,政策、方策、方針
authority,権威、当局
barely,ほとんど～しない
appliance,器具、装置
disadvantage,不利、損失
executive,役員、幹部、重役
flier,ビラ、ちらし
flexible,柔軟な、曲げやすい
reject,～を却下する、断る
recognize,～を認識する、認める
bargain,取引、契約、交渉
collision,衝突
deficit,赤字
lumber,材木
disgusting,むかつくような
contract,契約、請負、協定
beforehand,前もって、予め
characteristic,特有の
litter,ゴミ
structure,建造物、構造
distribution,流通、分配、配給
evidently,明らかに
cuisine,料理
description,描写、記述
majority,大多数、過半数
reference,参照、出典、引用文
interest rate,利率
statement,声明
illustrate,～を説明する、例示する
dip,下降、下落
register,～を登録する、記録する
substantial,相当な、実際的な、充実した
incapable,能力のない
currently,現在
declare,～を宣言する、明言する
candidate,志願者、立候補者
investigate,～を調査する、研究する
exceedingly,極めて、非常に
horrible,ぞっとするような
stable,安定した
instruction,支持、取扱説明書 <通例～s>
headhunter,ヘッドハンター
at least,少なくとも
hit on -,～を思いつく
bump into -,～にばったり出会う
in the black,黒字で
owing to -,～のせいで
in the midst of -,～の最中に
rid A of B,AからBを取り除く
live up to -,～に応える、添う
go through -,～を経験する
be superior to -,～より優れている
as for -,～はどうかといえば
draw up -,～を作成する
make out -,～を理解する
settle down,落ち着く
in writing,書面で
for sure,確かに
comment on -,～について意見を述べる
be advised to -,～するほうがよい
be similar to -,～に似ている
call for -,～を必要とする、要求する
in the direction of -,～の方向に
pass away,亡くなる
set out,出発する
let go of -,～を離す
get back to -,～にあとで連絡する
be designed for -,～を目的に作られている
accuse A of B,AをBで非難する
in appearance,外見上、見かけは
push for -,～を強く要求する
at a loss,途方に暮れて、当惑して
protect A from B,AをBから守る
hold over -,～を延長する、保留する
rule out -,～を除外する
make up for -,～の埋め合わせをする
free of charge,無料で
contrary to -,～に反して
be in charge of -,～の担当である、責任を負っている
all at once,同時に
in a row,続けて
prevent A from B,AがBするのを妨げる
in detail,詳細に
on the increase,増加して
in spite of -,～にもかかわらず
provide A with B,AにBを備え付ける、供給する
regardless of -,～にかかわらず、関係なく
in the meantime,その間に
look into -,～を調べる
run into -,～に衝突する、偶然会う
owe A to B,AをBに負う
shape up,具体的にまとまる
leave out -,～を書き落とす
on demand,請求あり次第
turn up,現れる
make the most of -,～を最大限に活用する
in demand,需要のある
for the time being,さしあたり
concentrate on -,～に集中する、専念する
nothing but -,ただ～のみ
run for -,～に立候補する
make fun of -,～をからかう
pick out -,～を選ぶ
compare A with B,AをBと比べる
feel for -,～に同情する
take - into account,～を考慮に入れる
specialize in -,～を専門とする
refer to -,～に言及する、～を参照する
fall behind,遅れる
come by -,～を手に入れる
on behalf of -,～を代表して
in the red,赤字で
on second thought,考え直した結果
require A of B,AをBに求める
for the purpose of -,～のために
as well,なお、その上
all but,ほとんど
conform to -,～に一致する、適合する
in advance,前もって、予め
result in -,～という結果に終わる
add up,計算が合う
lay off -,～を一時解雇する
on the basis of -,～に基づいて
reply to -,～に返事をする
apologize for -,～のことに対して謝る
fall through,失敗に終わる
keep up -,～を保つ
drop off -,～を車から降ろす
around the corner,すぐ間近になって
amount to -,～に達する
adjust to -,～に合わせる
insist on -,～を強く主張する
in service,使用されて、運転されて
set aside -,～を取っておく
for reference,参考のため
look back on -,～を追想する
be involved in -,～に携わっている
fall on -,～に当たる
take charge of -,～を担当している、責任を持っている
due to -,～が原因で、理由で
be opposed to -,～に反対である
approve of -,～に賛成する
in response to -,～に応じて、対して
object to -,～に反対する
provide A for B,AをBに供給する
rely on -,～に頼る
in particular,特に
deal in -,～を販売する
work out -,～を考え出す、解く
in search of -,～を求めて、捜して
rob A of B,AからBを奪う
in case of -,～の場合
do away with -,～を廃止する
time and again,何度も
wear out -,～を疲れさせる
blame A for B,AをBで非難する
get in touch with -,～と連絡を取る
take up -,～を始める
give away -,～をただで与える
in the event of -,～の場合には
on the spot,即座に、その場で
